
























STR_CONFIG_SETTING_TREE_PLACER_PERFECT                          :完璧


STR_CONFIG_SETTING_TREE_PLACER_HELPTEXT_EXTRA                   :{STRING}、『完璧』 はグループ化と拡散を促進します


STR_FINANCES_SECTION_INFRASTRUCTURE_COSTS                       :{GOLD}共有インフラ利用費
STR_FINANCES_SECTION_INFRASTRUCTURE_INCOME                      :{GOLD}共有インフラ提供損益


STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_EQ                   :非対称 (均等配分)
STR_CONFIG_SETTING_DISTRIBUTION_ASYMMETRIC_NEAREST              :非対称 (最寄り)


STR_CONFIG_SETTING_ZOOM_LVL_OUT_16X                             :16倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_32X                             :32倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_64X                             :64倍
STR_CONFIG_SETTING_ZOOM_LVL_OUT_128X                            :128倍



STR_CONFIG_SETTING_DEFAULT_ROAD_TYPE_DEFAULT                    :デフォルト


STR_ORDER_CONDITIONAL_CARGO_WAITING                             :待機貨物
STR_ORDER_CONDITIONAL_ACCEPTANCE_DROPDOWN                       :受け入れ貨物
STR_ORDER_CONDITIONAL_FREE_PLATFORMS                            :プラットフォームの空き
STR_ORDER_CONDITIONAL_PERCENT                                   :時間のパーセント
STR_ORDER_CONDITIONAL_SLOT_OCCUPANCY                            :スロット占有率
STR_ORDER_CONDITIONAL_TRAIN_IN_SLOT                             :スロット内の列車
STR_ORDER_CONDITIONAL_CARGO_LOAD_PERCENTAGE                     :貨物積載率
STR_ORDER_CONDITIONAL_CARGO_WAITING_AMOUNT                      :待機貨物量
STR_ORDER_CONDITIONAL_COUNTER_VALUE                             :カウンタ値
STR_ORDER_CONDITIONAL_TIME_DATE_VALUE                           :現在時刻/日付
STR_ORDER_CONDITIONAL_TIMETABLE_STATE                           :ダイヤの状態
STR_ORDER_CONDITIONAL_DISPATCH_SLOT                             :出発スロット


STR_ORDER_STOP_LOCATION_THROUGH                                 :[スルー積載]


STR_CONFIG_SETTING_TOWN_GROWTH_EXTREME_SLOW                     :非常に遅い
STR_CONFIG_SETTING_TOWN_GROWTH_VERY_SLOW                        :とても遅い


STR_GAME_OPTIONS_AUTOSAVE_DROPDOWN_EVERY_MINUTES_CUSTOM         :現実時間で {COMMA} 分毎


STR_RIVERS_VERY_MANY                                            :{RED}とても多い
STR_RIVERS_EXTREMELY_MANY                                       :{RED}非常に多い



STR_COMMA_SEPARATOR                                             :,{SP}

STR_UNIT_NAME_VELOCITY_IMPERIAL                                 :mph
STR_UNIT_NAME_VELOCITY_METRIC                                   :km/h
STR_UNIT_NAME_VELOCITY_SI                                       :m/s
STR_UNIT_NAME_VELOCITY_GAMEUNITS                                :タイル/日
STR_UNIT_NAME_VELOCITY_GAMEUNITS_WALLCLOCK                      :タイル/秒

STR_UNITS_SECONDS_SHORT                                         :{COMMA}{NBSP}秒

STR_BUTTON_RENAME                                               :{BLACK}名前の変更

